state,E_total,D_total,B_total,E_child_share,E_minor_share,D_adult_share,B_adult_share,Avg_Update_Ratio,Avg_Demo_Ratio,Avg_Bio_Ratio,Active_Months,Total_Activity,log_activity,E_rank,D_rank,B_rank,AMI_raw,UPI_raw,E_cv,D_cv,B_cv,VSI_raw,lag1_corr,lag2_corr,TPS_raw,AMI,UPI,VSI,TPS,Policy_Category,Governance_Status,Policy_Action,Anomaly_Flag_Count,Anomaly_High_Stress,Anomaly_Pressure_Mismatch,Anomaly_Scale_Volatility,Anomaly_Governance_Outlier,Volatility_Excess,Governance_Distance,Priority_Score,AMI_robust,UPI_robust,VSI_robust,TPS_entropy,entropy_raw,TPS_robust,GMM_Cluster,GMM_Governance_Label,Mahalanobis_Distance,GMM_Prob_Cluster_0,GMM_Prob_Cluster_1,UMAP_1,UMAP_2
Maharashtra,363446,3824891,9020710,0.7096542108718257,0.23334475328377544,0.9165311290145538,0.6252041565918537,402.6545437064815,131.54018254672744,271.114361159754,9,13209047,16.396412607285384,5.0,2.0,2.0,0.05714285659863946,0.9457317265849003,0.856000824893653,1.1240500923488301,0.16374545697722953,0.8824244193210934,-0.6412896071912734,0.11146677963457223,0.6179840678557795,0.9428571434013605,0.9457317265849003,0.8824244193210934,0.6179840678557795,High Maintenance Stress,Transitional,Balance investment across enrollment and update services.,1,False,False,False,True,-0.08979780290112882,0.5358619636962558,0.6239430948944515,0.7436421102928994,0.9229600721365069,0.6968710668289702,0.23676997261905075,2.4193819456463714,0.23676997261905075,0,Expansion Phase,1.981258053288188,1.0,0.0,7.429553,8.46897
Punjab,75773,642172,1717845,0.7434941019509156,0.18738402142972035,0.9303128462678695,0.5898534538998778,272.7590947465356,84.2536215914551,188.5054731550805,9,2435790,14.705782107743683,18.0,17.0,12.0,0.4190476150566894,0.8890772900915835,0.7791888854108753,0.5367152433381388,0.31533454347144874,0.8700191057959545,-0.7856147528929597,-0.679755214268396,0.7728105543926459,0.5809523849433106,0.8890772900915835,0.8700191057959545,0.7728105543926459,High Maintenance Stress,Transitional,Balance investment across enrollment and update services.,1,False,False,True,False,0.2589079946848434,0.27327670246458236,0.6090706141036034,0.5413216374961423,0.8855328366836412,0.6909872596723746,0.23676997261905075,2.4193819456463714,0.23676997261905075,0,Expansion Phase,2.2205435685799233,1.0,0.0,6.866842,7.9650893
Tamil Nadu,215710,1686594,4572151,0.7233717823724083,0.20429056860605455,0.8605601418743396,0.533546594120101,3826.4113404891905,1265.2495845338253,2561.161755955365,9,6474455,15.683375146576365,10.0,7.0,4.0,0.1714285697959184,0.8573241541079368,1.2480086765264917,0.9220681781719835,0.23187341062404082,0.9125099876607508,-0.5437256473715929,-0.19325283303856228,0.5133211898932137,0.8285714302040816,0.8573241541079368,0.9125099876607508,0.5133211898932137,High Maintenance Stress,Transitional,Balance investment across enrollment and update services.,0,False,False,False,False,0.023621098771861915,0.3913937099385775,0.5998033621485178,0.6858932916580802,0.8582431102662917,0.7108731849833778,0.306873278571435,2.197159723424149,0.306873278571435,0,Expansion Phase,1.5822283957155887,1.0,0.0,6.8706512,8.41153
Andhra Pradesh,124272,1518607,2501526,0.7172304111234563,0.20603870424771173,0.8549996762178547,0.46366095977208854,1076.6458988333875,477.5033243592994,599.1425744740881,7,4144405,15.23727003109539,13.0,8.0,10.0,0.26666666412698414,0.9060665684457017,0.9469680879687522,0.5496897101746334,0.24814908901750732,0.7673624021146104,-0.5278973766852372,-0.12769138205410233,0.49634122755603177,0.7333333358730159,0.9060665684457017,0.7673624021146104,0.49634122755603177,High Maintenance Stress,Transitional,Balance investment across enrollment and update services.,0,False,False,False,False,-0.010415375663167414,0.35708711830952083,0.5910589919638551,0.6328181517191849,0.8981700615662509,0.640028538453001,0.10177348203086356,2.521640636343318,0.10177348203086356,0,Expansion Phase,1.5816345095660342,1.0,0.0,7.193383,8.56291
Haryana,95085,825843,1600264,0.8183186057027473,0.15405957506310908,0.8792628623292129,0.5753976727056074,218.47716050168594,86.20001678889159,132.27714371279433,9,2521192,14.740242760161582,16.0,15.0,13.0,0.39047618675736967,0.7997379526444595,0.7890232100792532,0.3141833163853162,0.27029616826401154,0.8189305049322579,-0.6078144694528999,-0.6103300237118634,0.5820732226792729,0.6095238132426304,0.7997379526444595,0.8189305049322579,0.5820732226792729,High Maintenance Stress,Transitional,Balance investment across enrollment and update services.,0,False,False,False,False,0.1522638382655913,0.1998350910635682,0.5672869861662847,0.5588912395625523,0.7951446978659006,0.6661112516843068,0.07010330595238423,2.94770277922009,0.07010330595238423,0,Expansion Phase,1.6853848069024084,1.0,0.0,6.4824233,8.379513
Delhi,92838,969666,1281944,0.7000413530876223,0.24141233306186263,0.8799038077515666,0.568899647528761,130.37975745561323,66.02795682346107,64.35180063215213,9,2344448,14.66756096423615,17.0,14.0,16.0,0.4190476150566894,0.7770108406769102,0.6026369743512798,0.4713080033602904,0.4718851436571486,0.7970198058487603,-0.7846612605428105,-0.9053281361767571,0.771787684332161,0.5809523849433106,0.7770108406769102,0.7970198058487603,0.771787684332161,High Maintenance Stress,Transitional,Balance investment across enrollment and update services.,1,False,False,True,False,0.21368647251542694,0.16685112304398475,0.5574054283044998,0.5413216374961423,0.765086509162555,0.6551417867392866,0.14020661190476824,2.725480556997868,0.14020661190476824,0,Expansion Phase,1.596769768222959,1.0,0.0,6.9636593,7.807425
Lakshadweep,199,913,1731,0.9523437287348008,0.043749999199218764,0.8546466000161866,0.4736501813977256,15.209021793098117,5.194178296813536,10.01484349628458,4,2843,7.952966790923131,36.0,36.0,36.0,0.9999999904761906,0.5053176255499593,0.33888874293866583,0.21529814417003446,0.19037029408834247,0.11776719427223352,0.06522124427994004,-0.9999999999999998,0.0,9.523809407774309e-09,0.5053176255499593,0.11776719427223352,0.0,Unpredictable - Needs Monitoring,Stable Mature,Optimize operations and invest in fraud detection plus service quality.,2,False,False,False,True,0.08998941649445574,0.5278151654951128,0.5560370852806652,0.21789384382838517,0.28564215916702534,0.29417867097048755,0.0,2.0,0.0,1,Unpredictable System,5.809342097129968e-12,1.2282547313209738e-17,1.0,3.9105458,9.38167
Uttarakhand,36956,337421,740796,0.7688344442323551,0.18175899708618448,0.8912268176366506,0.48704584324035466,113.32677151905187,41.01121115343955,72.31556036561233,9,1115173,13.924521004512886,21.0,20.0,19.0,0.5428571376870749,0.8597946965364337,0.9769049868510595,0.5628955584055204,0.5575478328640002,0.38161755337196346,-0.3279592655545696,0.2238391020397784,0.28185528249997843,0.4571428623129251,0.8597946965364337,0.38161755337196346,0.28185528249997843,Unpredictable - Needs Monitoring,Unpredictable System,Increase monitoring and investigate administrative or reporting irregularities.,0,False,False,False,False,-0.11838244662803654,0.2425644860741772,0.5512574545726328,0.4645600156962295,0.8605476398019656,0.4289957707268499,0.306873278571435,2.197159723424149,0.306873278571435,0,Expansion Phase,2.7452879705970297,1.0,0.0,4.458965,9.542525
Himachal Pradesh,16909,87364,206778,0.8640399920904571,0.07130934018802308,0.8759857029333565,0.4484792227733957,98.73319318419965,5.816463958061534,92.91672922613812,5,311051,12.647715379756926,23.0,23.0,22.0,0.6190476131519275,0.6280994819143418,0.5950405264542713,0.6458243076150062,0.23447973013206708,0.6164549522269882,-0.5648619425850403,0.5231365369741411,0.5359953975677937,0.38095238684807253,0.6280994819143418,0.6164549522269882,0.5359953975677937,Balanced / Transitional,Transitional,Balance investment across enrollment and update services.,1,False,False,True,False,0.2275660633380993,0.13339459678819787,0.5347492644326836,0.4179173422467245,0.5078009948460669,0.559340158513804,0.34454124645871453,1.5219280948873621,0.34454124645871453,0,Expansion Phase,2.063537643172233,1.0,0.0,4.623984,10.352965
Rajasthan,340591,2058896,3927997,0.6306890256908692,0.3301931356778771,0.8930695779774207,0.5108784587532917,1532.9411767975016,1004.552714783461,528.3884620140406,9,6327484,15.660413400794102,6.0,6.0,6.0,0.14285714149659864,0.6327956100229555,1.0539514962193892,1.102862246889395,0.3736819373195241,0.999999632151164,-0.6875306957730261,-0.056887558853119205,0.6675897359737306,0.8571428585034013,0.6327956100229555,0.999999632151164,0.6675897359737306,Balanced / Transitional,Transitional,Balance investment across enrollment and update services.,0,False,False,False,False,0.1388885210400529,0.3429684826275326,0.5206063579995913,0.7009840731914556,0.516858520980609,0.7493237285152714,0.14020661190476824,2.725480556997868,0.14020661190476824,0,Expansion Phase,1.6374255758419876,1.0,0.0,6.4278197,9.393949
