state,entropy_raw,entropy_normalized,TPS_entropy
Andaman And Nicobar Islands,1.5,0.75,0.25
Andhra Pradesh,2.521640636343318,0.8982265179691364,0.10177348203086356
Arunachal Pradesh,2.0,1.0,0.0
Assam,2.197159723424149,0.693126721428565,0.306873278571435
Bihar,2.25,0.75,0.25
Chandigarh,1.9219280948873623,0.8277293767706428,0.17227062322935716
Chhattisgarh,2.6416041678685933,0.8333333333333333,0.16666666666666674
Dadra And Nagar Haveli And Daman And Diu,2.0,1.0,0.0
Delhi,2.725480556997868,0.8597933880952318,0.14020661190476824
Goa,1.5,0.75,0.25
Gujarat,2.197159723424149,0.693126721428565,0.306873278571435
Haryana,2.94770277922009,0.9298966940476158,0.07010330595238423
Himachal Pradesh,1.5219280948873621,0.6554587535412855,0.34454124645871453
Jammu And Kashmir,2.1280852788913944,0.7580392711198944,0.24196072888010556
Jharkhand,1.2516291673878228,0.4841962570206112,0.5158037429793888
Karnataka,1.974937501201927,0.6230234154761809,0.3769765845238191
Kerala,2.0,1.0,0.0
Ladakh,1.5,0.75,0.25
Lakshadweep,2.0,1.0,0.0
Madhya Pradesh,2.725480556997868,0.8597933880952318,0.14020661190476824
Maharashtra,2.4193819456463714,0.7632300273809492,0.23676997261905075
Manipur,0.8112781244591328,0.4056390622295664,0.5943609377704335
Meghalaya,1.9219280948873623,0.8277293767706428,0.17227062322935716
Mizoram,1.061278124459133,0.353759374819711,0.646240625180289
Nagaland,2.0,1.0,0.0
Odisha,1.9219280948873623,0.8277293767706428,0.17227062322935716
Puducherry,1.5,0.75,0.25
Punjab,2.4193819456463714,0.7632300273809492,0.23676997261905075
Rajasthan,2.725480556997868,0.8597933880952318,0.14020661190476824
Sikkim,2.0,1.0,0.0
Tamil Nadu,2.197159723424149,0.693126721428565,0.306873278571435
Telangana,2.1556390622295662,0.7185463540765221,0.2814536459234779
Tripura,1.5,0.75,0.25
Uttar Pradesh,2.725480556997868,0.8597933880952318,0.14020661190476824
Uttarakhand,2.197159723424149,0.693126721428565,0.306873278571435
West Bengal,2.4193819456463714,0.7632300273809492,0.23676997261905075
