state,forecast_month,forecast_step,forecast_mean,ci_80_lower,ci_80_upper,ci_95_lower,ci_95_upper
Andaman And Nicobar Islands,2026-01,1,1763.5,1263.1794819827994,2263.820518017201,998.5793952311129,2528.420604768887
Andaman And Nicobar Islands,2026-02,2,2063.5,1355.9399378865423,2771.0600621134577,981.73890659721,3145.26109340279
Andaman And Nicobar Islands,2026-03,3,2363.4999999999995,1496.9194427250281,3230.080557274971,1038.6186487839748,3688.381351216024
Andaman And Nicobar Islands,2026-04,4,2663.4999999999995,1662.8589639655984,3664.1410360344007,1133.6587904622254,4193.3412095377735
Andaman And Nicobar Islands,2026-05,5,2963.4999999999995,1844.7493111756305,4082.250688824369,1253.0855303465182,4673.91446965348
Andaman And Nicobar Islands,2026-06,6,3263.4999999999995,2037.9700230129004,4489.029976987099,1389.8348245751056,5137.165175424893
Andaman And Nicobar Islands,2026-07,7,3563.4999999999995,2239.776333503476,4887.223666496523,1539.710307072397,5587.289692927602
Andaman And Nicobar Islands,2026-08,8,3863.499999999999,2448.3798757730838,5278.620124226914,1699.977813194419,6027.02218680558
Andaman And Nicobar Islands,2026-09,9,4163.499999999999,2662.538445948397,5664.461554051601,1868.738185693338,6458.26181430666
Andaman And Nicobar Islands,2026-10,10,4463.499999999999,2881.3476029503345,6045.652397049664,2044.6086597368612,6882.391340263137
Andaman And Nicobar Islands,2026-11,11,4763.499999999998,3104.124566820695,6422.875433179302,2226.5453595698623,7300.4546404301345
Andaman And Nicobar Islands,2026-12,12,5063.499999999998,3330.3388854500554,6796.661114549941,2413.7372975679486,7713.262702432048
Andhra Pradesh,2026-01,1,273983.57142857136,132443.4398119785,415523.70304516423,57588.36240476323,490378.7804523795
Andhra Pradesh,2026-02,2,288243.49999999994,88075.52624774139,488411.47375225846,0.0,594272.5394340302
Andhra Pradesh,2026-03,3,302503.4285714285,57348.729301503656,547658.1278413534,0.0,677310.9251151513
Andhra Pradesh,2026-04,4,316763.35714285704,33683.0939096713,599843.6203760428,0.0,749553.7751904733
Andhra Pradesh,2026-05,5,331023.2857142856,14529.929875316739,647516.6415532546,0.0,814897.6830967965
Andhra Pradesh,2026-06,6,345283.2142857142,0.0,691984.3148727394,0.0,875341.059176954
Andhra Pradesh,2026-07,7,359543.1428571428,0.0,734023.131649998,0.0,932071.0508399792
Andhra Pradesh,2026-08,8,373803.07142857136,0.0,774139.0189330885,0.0,985861.1502966319
Andhra Pradesh,2026-09,9,388062.9999999999,0.0,812683.3948497785,0.0,1037248.6270714243
Andhra Pradesh,2026-10,10,402322.92857142846,0.0,849912.1247998723,0.0,1086624.6638348838
Andhra Pradesh,2026-11,11,416582.85714285704,0.0,886018.3664926151,0.0,1134284.5719053578
Andhra Pradesh,2026-12,12,430842.78571428556,0.0,921152.1842541352,0.0,1180457.7788017313
Arunachal Pradesh,2026-01,1,2432.499999999998,0.0,4986.53495945396,0.0,6337.264836606679
Arunachal Pradesh,2026-02,2,1182.8999999999978,0.0,4794.850878434809,0.0,6705.071389806729
Arunachal Pradesh,2026-03,3,0.0,0.0,4423.718314081379,0.0,6763.251088611157
Arunachal Pradesh,2026-04,4,0.0,0.0,5108.069918907923,0.0,7809.529673213362
Arunachal Pradesh,2026-05,5,0.0,0.0,5710.995786249978,0.0,8731.319610803399
Arunachal Pradesh,2026-06,6,0.0,0.0,6256.082435892128,0.0,9564.681415248497
Arunachal Pradesh,2026-07,7,0.0,0.0,6757.341342480117,0.0,10331.036685851039
Arunachal Pradesh,2026-08,8,0.0,0.0,7223.901756869622,0.0,11044.342779613462
Arunachal Pradesh,2026-09,9,0.0,0.0,7662.104878361884,0.0,11714.294509820043
Arunachal Pradesh,2026-10,10,0.0,0.0,8076.567695570316,0.0,12347.95061101234
Arunachal Pradesh,2026-11,11,0.0,0.0,8470.775661959358,0.0,12950.639857597771
Arunachal Pradesh,2026-12,12,0.0,0.0,8847.436628162757,0.0,13526.502177222314
Assam,2026-01,1,155814.66666666663,64437.145839468125,247192.18749386515,16111.124684366281,295518.208648967
Assam,2026-02,2,170197.66666666663,40970.33741681253,299424.9959165207,0.0,367768.31044959486
Assam,2026-03,3,184580.66666666663,26310.157924275554,342851.1754090577,0.0,426554.29937734245
Assam,2026-04,4,198963.66666666663,16208.625012269622,381718.70832106366,0.0,478370.7506312673
Assam,2026-05,5,213346.66666666657,9020.318481647904,417673.01485168526,0.0,525733.2832365859
Assam,2026-06,6,227729.66666666657,3901.3666794876335,451557.9666538455,0.0,569932.0597827903
Assam,2026-07,7,242112.66666666657,350.4711362741946,483874.862197059,0.0,611733.4960267048
Assam,2026-08,8,256495.66666666657,0.0,514950.3251663748,0.0,651636.954232523
Assam,2026-09,9,270878.66666666657,0.0,545011.2291482621,0.0,689989.2926135676
Assam,2026-10,10,285261.6666666665,0.0,574222.7594200871,0.0,727043.0565236902
Assam,2026-11,11,299644.6666666665,0.0,602709.6175233698,0.0,762988.8973056201
Assam,2026-12,12,314027.6666666665,0.0,630568.6841514487,0.0,797974.9320880182
Bihar,2026-01,1,721463.5714285714,242607.18468932633,1200319.9581678165,0.0,1453568.4996726587
Bihar,2026-02,2,780709.8928571427,103504.69630152639,1457915.089412759,0.0,1816062.611460113
Bihar,2026-03,3,839956.2142857143,10552.622924490366,1669359.8056469383,0.0,2107999.146476041
Bihar,2026-04,4,899202.5357142857,0.0,1856915.3091927757,0.0,2363412.3922024607
Bihar,2026-05,5,958448.8571428573,0.0,2029204.289351738,0.0,2595485.2433592426
Bihar,2026-06,6,1017695.1785714286,0.0,2190648.986155424,0.0,2810978.6909463354
