state,lag1_corr,lag2_corr
Andaman And Nicobar Islands,-0.981928437875302,-0.9999999999999998
Andhra Pradesh,-0.5278973766852372,-0.12769138205410233
Arunachal Pradesh,-0.9091994396180334,1.0
Assam,0.42946418743263226,0.3799854716431699
Bihar,-0.7496898849417505,-0.15435392570458936
Chandigarh,-0.88347017918006,0.6089978722137696
Chhattisgarh,-0.7606802743884891,-0.45491740727800495
Dadra And Nagar Haveli And Daman And Diu,-0.6679234891151222,-1.0
Delhi,-0.7846612605428105,-0.9053281361767571
Goa,-0.9938757092247676,1.0
Gujarat,-0.5100742753874005,-0.8547666182170983
Haryana,-0.6078144694528999,-0.6103300237118634
Himachal Pradesh,-0.5648619425850403,0.5231365369741411
Jammu And Kashmir,-0.4692197760063458,-0.06352991949314375
Jharkhand,-0.7335621360142228,0.4953519819467929
Karnataka,-0.6704423295770099,-0.7010197671607147
Kerala,-0.7093222345169841,-1.0
Ladakh,-0.9955646041009913,-1.0
Lakshadweep,0.06522124427994004,-0.9999999999999998
Madhya Pradesh,-0.7205743029214482,-0.7674232212985619
Maharashtra,-0.6412896071912734,0.11146677963457223
Manipur,-0.45014627906377447,1.0
Meghalaya,-0.5789933853927887,0.19496939568200708
Mizoram,-0.7004579423984187,-0.5436764559939973
Nagaland,-0.7043612939123757,0.9999999999999999
Odisha,-0.8253243364425775,-0.038008798646207195
Puducherry,-0.8854061954986084,1.0
Punjab,-0.7856147528929597,-0.679755214268396
Rajasthan,-0.6875306957730261,-0.056887558853119205
Sikkim,-0.9973937304186988,0.9999999999999999
Tamil Nadu,-0.5437256473715929,-0.19325283303856228
Telangana,-0.5411016418556815,-0.6970333400954277
Tripura,-0.5475669765822316,-1.0
Uttar Pradesh,-0.5811636972332161,-0.17137593712049387
Uttarakhand,-0.3279592655545696,0.2238391020397784
West Bengal,-0.6061471213920819,-0.25118054546776825
