state,E_total,D_total,B_total,E_rank,D_rank,B_rank
Andaman And Nicobar Islands,491,4054,7874,35.0,34.0,33.0
Andhra Pradesh,124272,1518607,2501526,13.0,8.0,10.0
Arunachal Pradesh,3756,22226,30399,28.0,27.0,29.0
Assam,225359,755097,945150,8.0,16.0,18.0
Bihar,547367,3638841,4284511,2.0,3.0,5.0
Chandigarh,2620,30410,22779,30.0,26.0,31.0
Chhattisgarh,99773,1421369,2559111,15.0,9.0,9.0
Dadra And Nagar Haveli And Daman And Diu,1053,7254,14691,33.0,33.0,32.0
Delhi,92838,969666,1281944,17.0,14.0,16.0
Goa,2238,21521,24778,31.0,28.0,30.0
Gujarat,275042,1358115,3147888,7.0,10.0,7.0
Haryana,95085,825843,1600264,16.0,15.0,13.0
Himachal Pradesh,16909,87364,206778,23.0,23.0,22.0
Jammu And Kashmir,47629,219616,594072,20.0,21.0,20.0
Jharkhand,139010,1063490,1307805,11.0,12.0,15.0
Karnataka,219576,1254761,2602079,9.0,11.0,8.0
Kerala,72910,497093,530732,19.0,19.0,21.0
Ladakh,617,2541,2157,34.0,35.0,35.0
Lakshadweep,199,913,1731,36.0,36.0,36.0
Madhya Pradesh,487892,2104635,5819736,3.0,5.0,3.0
Maharashtra,363446,3824891,9020710,5.0,2.0,2.0
Manipur,10047,209540,129510,24.0,22.0,23.0
Meghalaya,23877,63941,38284,22.0,25.0,26.0
Mizoram,5774,18550,68091,27.0,31.0,25.0
Nagaland,6349,20266,38154,26.0,29.0,27.0
Odisha,119708,575596,1205845,14.0,18.0,17.0
Puducherry,2950,20074,35729,29.0,30.0,28.0
Punjab,75773,642172,1717845,18.0,17.0,12.0
Rajasthan,340591,2058896,3927997,6.0,6.0,6.0
Sikkim,1568,11264,6007,32.0,32.0,34.0
Tamil Nadu,215710,1686594,4572151,10.0,7.0,4.0
Telangana,128948,996511,1508625,12.0,13.0,14.0
Tripura,9890,76911,82741,25.0,24.0,24.0
Uttar Pradesh,1002631,6460511,9367083,1.0,1.0,1.0
Uttarakhand,36956,337421,740796,21.0,20.0,19.0
West Bengal,369242,2844318,2482178,4.0,4.0,11.0
