state,predicted_priority,shap_sum,top_1_feature,top_1_shap,top_2_feature,top_2_shap,top_3_feature,top_3_shap
Maharashtra,0.623337500825146,0.1751198021547807,Avg_Update_Ratio,0.05611875912054454,Avg_Demo_Ratio,0.035734343113957276,E_child_share,0.02597642668257208
Punjab,0.6088378757561936,0.16062017708582838,Avg_Update_Ratio,0.05598146717492761,Avg_Demo_Ratio,0.03486893302839555,E_child_share,0.023917196390259354
Tamil Nadu,0.5998332957219128,0.15161559705154742,Avg_Update_Ratio,0.05471055233857601,Avg_Demo_Ratio,0.03255087424604868,E_child_share,0.02270419273929251
Andhra Pradesh,0.5906965983373937,0.14247889966702842,Avg_Update_Ratio,0.05559631169125582,Avg_Demo_Ratio,0.03179884333307639,E_child_share,0.02117039633636127
Haryana,0.5676061093914941,0.11938841072112885,Avg_Update_Ratio,0.048342991230508045,Avg_Demo_Ratio,0.030974037453524013,E_child_share,0.01658633480306237
Delhi,0.5569050946063463,0.10868739593598095,Avg_Update_Ratio,0.04540845476274702,Avg_Demo_Ratio,0.028957654093190625,B_adult_share,0.009108733951672854
Lakshadweep,0.5554756090979774,0.10725791042761211,E_child_share,0.06255859905163831,Avg_Update_Ratio,-0.034719555662076136,E_total,0.017994645366595095
Uttarakhand,0.5509210075126955,0.10270330884233013,Avg_Update_Ratio,0.04400453700085018,E_child_share,0.015765922723254777,Avg_Demo_Ratio,0.01416366006495276
Himachal Pradesh,0.5342694546771068,0.0860517560067415,Avg_Update_Ratio,0.054497868414246434,Avg_Demo_Ratio,-0.020969141650985228,E_child_share,0.012052745925987332
Rajasthan,0.5207869651005088,0.07256926643014347,Avg_Update_Ratio,0.04357694542391231,Avg_Demo_Ratio,0.02597156359843718,E_child_share,-0.02351416609201794
Chhattisgarh,0.5165644976637418,0.06834679899337649,Avg_Update_Ratio,0.046175142225128495,Avg_Demo_Ratio,0.026352156778001748,Active_Months,0.006079172856780353
West Bengal,0.507961012453593,0.05974331378322773,Avg_Update_Ratio,0.04208078486836148,Avg_Demo_Ratio,0.025974713145232385,E_child_share,-0.024204329697979327
Gujarat,0.496939648406579,0.0487219497362137,Avg_Update_Ratio,0.02708935583387042,E_child_share,-0.016138194913518783,Avg_Demo_Ratio,0.014814714414015596
Manipur,0.49146760103450166,0.043249902364136325,Avg_Update_Ratio,0.02963136536452313,Avg_Demo_Ratio,0.017012693609852126,E_child_share,-0.006852834950538073
Jharkhand,0.4790848701690559,0.030867171498690588,Avg_Update_Ratio,0.046714353279784765,E_child_share,-0.028955443559360843,Avg_Demo_Ratio,0.021721398352475614
Karnataka,0.4777687095683122,0.029551010897946844,Avg_Update_Ratio,0.03368371924813148,E_child_share,-0.018463456574908648,Avg_Demo_Ratio,0.012856004585557313
Madhya Pradesh,0.4708482518144334,0.022630553144068068,Avg_Update_Ratio,0.03325324001700706,E_child_share,-0.02304719269408932,Avg_Demo_Ratio,0.022211958945819035
Chandigarh,0.46939629433884106,0.021178595668475724,Avg_Update_Ratio,0.024455385191375512,E_total,-0.008658262576131065,Avg_Demo_Ratio,0.007643164767839083
Jammu And Kashmir,0.4662379580511432,0.01802025938077792,Avg_Update_Ratio,0.03324736827125092,B_adult_share,-0.017041879081921223,Avg_Demo_Ratio,0.013447251236595311
Uttar Pradesh,0.459484400661293,0.011266701990927675,Avg_Update_Ratio,0.023632451472709207,E_child_share,-0.016308435727448688,Avg_Demo_Ratio,0.013835138635281338
Bihar,0.4266070695869221,-0.021610629083443213,E_child_share,-0.02414435806904532,Avg_Update_Ratio,0.020425667341815567,E_minor_share,-0.009765964342241558
Telangana,0.4182780260271003,-0.029939672643264997,Avg_Demo_Ratio,-0.03634575436467507,Avg_Update_Ratio,0.020893390318251246,D_adult_share,-0.009222102268483749
Odisha,0.41347924635521854,-0.034738452315146766,Avg_Demo_Ratio,-0.04321149072555574,Avg_Update_Ratio,0.03917316077972419,B_adult_share,-0.022844535020922718
Dadra And Nagar Haveli And Daman And Diu,0.38913307747864845,-0.059084621191716896,Avg_Update_Ratio,-0.054101577414040786,Avg_Demo_Ratio,-0.01877482600693909,Avg_Bio_Ratio,0.012939313760671844
Mizoram,0.3822480985358252,-0.0659696001345401,Avg_Update_Ratio,-0.052373501027952636,Avg_Demo_Ratio,-0.023793174185880405,Avg_Bio_Ratio,0.013056384707476396
