state,E_total,D_total,B_total,E_child_share,E_minor_share,D_adult_share,B_adult_share,Avg_Update_Ratio,Avg_Demo_Ratio,Avg_Bio_Ratio,Active_Months,Total_Activity,log_activity,E_rank,D_rank,B_rank,AMI_raw,UPI_raw,E_cv,D_cv,B_cv,VSI_raw,lag1_corr,lag2_corr,TPS_raw,AMI,UPI,VSI,TPS,Policy_Category,Governance_Status,Policy_Action,Anomaly_High_Stress,Anomaly_Pressure_Mismatch,Expected_VSI,Volatility_Excess,Anomaly_Scale_Volatility,Governance_Distance,Anomaly_Governance_Outlier,IF_Anomaly_Score,ECOD_Anomaly_Score,Ensemble_Anomaly_Score,Ensemble_Anomaly,Anomaly_Severity_Rank,Anomaly_Flag_Count
Lakshadweep,199,913,1731,0.9523437287348008,0.043749999199218764,0.8546466000161866,0.4736501813977256,15.209021793098117,5.194178296813536,10.01484349628458,4,2843,7.952966790923131,36.0,36.0,36.0,0.9999999904761906,0.5053176255499593,0.33888874293866583,0.21529814417003446,0.19037029408834247,0.11776719427223352,0.06522124427994004,-0.9999999999999998,0.0,9.523809407774309e-09,0.5053176255499593,0.11776719427223352,0.0,Unpredictable - Needs Monitoring,Stable Mature,Optimize operations and invest in fraud detection plus service quality.,False,False,0.027777777777777776,0.08998941649445574,False,0.5278151654951128,True,1.0,0.9785466420259612,0.9892733210129806,1,1,2
Ladakh,617,2541,2157,0.7439794719254786,0.22578132598139145,0.8085818058766583,0.35657188871703493,7.57043797804959,4.0419994814338285,3.5284384966157614,4,5315,8.578476419833136,34.0,35.0,35.0,0.9619047527437643,0.2573396766781765,0.1932882032451535,0.707395787228461,0.27549068085771017,0.0672167613585185,-0.9955646041009913,-1.0,0.9980367106070692,0.0380952472562357,0.2573396766781765,0.0672167613585185,0.9980367106070692,Expansion Phase,Stable Mature,Optimize operations and invest in fraud detection plus service quality.,False,False,0.05555555555555555,0.011661205802962954,False,0.6010316291210617,True,0.7596011685363248,1.0,0.8798005842681624,1,2,2
Maharashtra,363446,3824891,9020710,0.7096542108718257,0.23334475328377544,0.9165311290145538,0.6252041565918537,402.6545437064815,131.54018254672744,271.114361159754,9,13209047,16.396412607285384,5.0,2.0,2.0,0.05714285659863946,0.9457317265849003,0.856000824893653,1.1240500923488301,0.16374545697722953,0.8824244193210934,-0.6412896071912734,0.11146677963457223,0.6179840678557795,0.9428571434013605,0.9457317265849003,0.8824244193210934,0.6179840678557795,High Maintenance Stress,Transitional,Balance investment across enrollment and update services.,False,False,0.9722222222222222,-0.08979780290112882,False,0.5358619636962558,True,0.46763127684526673,0.6959381516123971,0.5817847142288319,0,6,1
Punjab,75773,642172,1717845,0.7434941019509156,0.18738402142972035,0.9303128462678695,0.5898534538998778,272.7590947465356,84.2536215914551,188.5054731550805,9,2435790,14.705782107743683,18.0,17.0,12.0,0.4190476150566894,0.8890772900915835,0.7791888854108753,0.5367152433381388,0.31533454347144874,0.8700191057959545,-0.7856147528929597,-0.679755214268396,0.7728105543926459,0.5809523849433106,0.8890772900915835,0.8700191057959545,0.7728105543926459,High Maintenance Stress,Transitional,Balance investment across enrollment and update services.,False,False,0.6111111111111112,0.2589079946848434,True,0.27327670246458236,False,0.2823466214022796,0.32528110815936856,0.30381386478082406,0,19,1
Delhi,92838,969666,1281944,0.7000413530876223,0.24141233306186263,0.8799038077515666,0.568899647528761,130.37975745561323,66.02795682346107,64.35180063215213,9,2344448,14.66756096423615,17.0,14.0,16.0,0.4190476150566894,0.7770108406769102,0.6026369743512798,0.4713080033602904,0.4718851436571486,0.7970198058487603,-0.7846612605428105,-0.9053281361767571,0.771787684332161,0.5809523849433106,0.7770108406769102,0.7970198058487603,0.771787684332161,High Maintenance Stress,Transitional,Balance investment across enrollment and update services.,False,False,0.5833333333333334,0.21368647251542694,True,0.16685112304398475,False,0.15460251015409787,0.1577225894998579,0.1561625498269779,0,30,1
Himachal Pradesh,16909,87364,206778,0.8640399920904571,0.07130934018802308,0.8759857029333565,0.4484792227733957,98.73319318419965,5.816463958061534,92.91672922613812,5,311051,12.647715379756926,23.0,23.0,22.0,0.6190476131519275,0.6280994819143418,0.5950405264542713,0.6458243076150062,0.23447973013206708,0.6164549522269882,-0.5648619425850403,0.5231365369741411,0.5359953975677937,0.38095238684807253,0.6280994819143418,0.6164549522269882,0.5359953975677937,Balanced / Transitional,Transitional,Balance investment across enrollment and update services.,False,False,0.3888888888888889,0.2275660633380993,True,0.13339459678819787,False,0.1463043280130738,0.0,0.0731521640065369,0,34,1
Chandigarh,2620,30410,22779,0.8797650880031963,0.0956780308490218,0.8680266927216402,0.46939789067462917,42.94103986379813,24.549476117487153,18.391563746310982,5,55809,10.92970834378248,30.0,26.0,31.0,0.7999999923809524,0.6971640109994648,0.5205237935505915,0.470382432152055,0.4513613499553188,0.471907680685179,-0.88347017918006,0.6089978722137696,0.8777861064140151,0.20000000761904757,0.6971640109994648,0.471907680685179,0.8777861064140151,Balanced / Transitional,Transitional,Balance investment across enrollment and update services.,False,False,0.19444444444444445,0.27746323624073455,True,0.32267651244072854,False,0.3382843362792366,0.17928514430055603,0.2587847402898963,0,24,1
Meghalaya,23877,63941,38284,0.21654986342377666,0.3510769209060447,0.8961787322182468,0.4796095953186235,7.649091283520995,4.9531401969191275,2.695951086601868,5,126102,11.744854312312365,22.0,25.0,26.0,0.6666666603174604,0.0,0.6731667749039838,0.6165617525331731,0.3259581817430671,0.37573101851133967,-0.5789933853927887,0.19496939568200708,0.5511550679702244,0.33333333968253964,0.0,0.37573101851133967,0.5511550679702244,Expansion Phase,Transitional,Balance investment across enrollment and update services.,False,False,0.3333333333333333,0.04239768517800635,False,0.6497622662658427,True,0.7352206174724984,0.41904489475039913,0.5771327561114488,0,7,1
Sikkim,1568,11264,6007,0.5543337885772583,0.38839095617796815,0.9178008659592536,0.4310049080150546,15.820288066170455,10.19946812363831,5.620819942532146,4,18839,9.843737548130354,32.0,32.0,34.0,0.9047618961451248,0.42312278498801503,0.6645102114745763,0.4239494664860912,0.22337426760230797,0.22795016729845102,-0.9973937304186988,0.9999999999999999,0.9999989272383146,0.09523810385487519,0.42312278498801503,0.22795016729845102,0.9999989272383146,Balanced / Transitional,Stable Mature,Optimize operations and invest in fraud detection plus service quality.,False,False,0.1111111111111111,0.11683905618733992,False,0.46473163718630517,False,0.540850488934757,0.7170295552902488,0.6289400221125029,1,4,1
Andaman And Nicobar Islands,491,4054,7874,0.9350609961017274,0.06493899493806404,0.910757208833957,0.34609134434518235,24.99339315623346,8.710834994703848,16.28255816152961,4,12419,9.42706335548747,35.0,34.0,33.0,0.9428571338775511,0.7768829494770417,0.3625254552951083,0.4446373112333133,0.31043545405938067,0.0,-0.981928437875302,-0.9999999999999998,0.9834083539455073,0.0571428661224489,0.7768829494770417,0.0,0.9834083539455073,Balanced / Transitional,Stable Mature,Optimize operations and invest in fraud detection plus service quality.,False,False,0.08333333333333333,-0.08333333333333333,False,0.482011757360367,False,0.6746764607876868,0.8324414813404895,0.7535589710640882,1,3,1
