state,year_month,E_total,E_0_5,E_5_17,E_18_plus,D_total,D_5_17,D_17_plus,B_total,B_5_17,B_17_plus,update_to_enrol_ratio,demo_update_ratio,biometric_update_ratio,E_child_share,E_minor_share,D_adult_share,B_adult_share,Total_Activity
Andaman And Nicobar Islands,2025-09,183,167,16,0,779,60,719,2642,1733,909,18.693988968885307,4.2568305778315265,14.43715839105378,0.9125683010242169,0.08743169351130223,0.9229781759653682,0.3440575320423704,3604
Andaman And Nicobar Islands,2025-10,77,69,8,0,549,61,488,1299,808,491,23.999999688311693,7.129870037274415,16.870129651037278,0.8961038844661834,0.10389610254680387,0.8888888872697834,0.377983063604324,1925
Andaman And Nicobar Islands,2025-11,108,105,3,0,1146,105,1041,1636,1051,585,25.759259020747603,10.611111012860084,15.148148007887519,0.9722222132201647,0.027777777520576134,0.9083769625581352,0.3575794618841201,2890
Andaman And Nicobar Islands,2025-12,123,118,5,0,1580,122,1458,2297,1597,700,31.520324946989227,12.845528350849364,18.674796596139867,0.9593495856963449,0.04065040617357393,0.9227848095425412,0.304745319849915,4000
Andhra Pradesh,2025-03,116,43,44,29,370695,34912,335783,403296,243777,159519,6672.336149376412,3195.646524175461,3476.6896252009515,0.37068965197681336,0.37931034155766946,0.9058201486372737,0.39553826469790043,774107
Andhra Pradesh,2025-06,1574,928,433,213,81181,14158,67023,508472,327497,180975,374.62071132489154,51.57623884906211,323.0444724758294,0.5895806857753617,0.2750952984275125,0.8255995860998806,0.3559193033237702,591227
Andhra Pradesh,2025-07,956,473,372,111,57259,8413,48846,334226,140116,194110,409.50313764696324,59.89435140178415,349.6087862451791,0.4947698739594457,0.3891213385051032,0.8530711329074369,0.5807746853907811,392441
Andhra Pradesh,2025-09,40354,34938,5037,379,214465,20202,194263,213697,78500,135197,10.61015017072384,5.314590870661778,5.295559300062061,0.8657877781418004,0.12482033998798582,0.9058028116433646,0.6326574542430046,468516
Andhra Pradesh,2025-10,24567,21562,2883,122,182376,33418,148958,327181,197091,130090,20.74152318065936,7.423617046956339,13.31790613370302,0.8776814425498562,0.11735254609364788,0.8167631705881433,0.39760866309352433,534124
Andhra Pradesh,2025-11,33779,30114,3285,380,289285,53248,236037,366090,224733,141357,19.401847301003528,8.56404866903804,10.837798631965487,0.8915006364637348,0.09724977056463335,0.8159323850154141,0.3861263623688543,689154
