state,E_cv,D_cv,B_cv,ratio_cv
Andaman And Nicobar Islands,0.3625254552951083,0.4446373112333133,0.31043545405938067,0.21153539774953273
Andhra Pradesh,0.9469680879687522,0.5496897101746334,0.24814908901750732,2.297616220345305
Arunachal Pradesh,0.6326231174772585,0.41400621613064426,0.19443031970716215,0.5909843571012209
Assam,0.6481565726768339,0.9010883434268265,0.23739633307712527,1.731301861414255
Bihar,0.675550024148067,0.8778900769297584,0.37046606801645965,2.4177124334304425
Chandigarh,0.5205237935505915,0.470382432152055,0.4513613499553188,1.4944201989858192
Chhattisgarh,0.9926235836814783,0.5508034013307942,0.3731776745402728,1.6996990619351162
Dadra And Nagar Haveli And Daman And Diu,0.5598057652570815,0.3041667722769807,0.5750913828909319,0.3848142992660966
Delhi,0.6026369743512798,0.4713080033602904,0.4718851436571486,2.378240109406461
Goa,0.4508003300598628,0.2883272080801953,0.26093932843578743,0.5982632476941637
Gujarat,0.6992481016385191,0.7502242257071305,0.3906928120755566,2.3007216899535625
Haryana,0.7890232100792532,0.3141833163853162,0.27029616826401154,2.437804519966316
Himachal Pradesh,0.5950405264542713,0.6458243076150062,0.23447973013206708,1.8873731118350408
Jammu And Kashmir,0.8769882358546758,0.5308488635630975,0.2802117915307559,1.4227828398431066
Jharkhand,0.8055510974391235,0.7576387202100415,0.5184922387080882,2.41855726894413
Karnataka,0.8284906364178409,0.6801693665021037,0.24521874161399618,2.3206109005503657
Kerala,0.2027475077667033,0.311603515563952,0.2304451884314444,0.42459766235248897
Ladakh,0.1932882032451535,0.707395787228461,0.27549068085771017,0.394264700671595
Lakshadweep,0.33888874293866583,0.21529814417003446,0.19037029408834247,0.5316864565259626
Madhya Pradesh,0.84557799734155,0.5208753362062732,0.4008232641366187,2.6513319771994173
Maharashtra,0.856000824893653,1.1240500923488301,0.16374545697722953,2.610413233649821
Manipur,0.3180459169906698,0.794334154870189,0.5474738460627459,0.5852511912205017
Meghalaya,0.6731667749039838,0.6165617525331731,0.3259581817430671,1.2329631742615967
Mizoram,0.4443737322895949,0.6988279605186004,0.7686559386905991,1.0123893324020592
Nagaland,0.6328996788018124,0.06091364190975879,0.013689996372476773,1.1154427254743549
Odisha,0.7871784390912111,0.574123708583096,0.20208752733722918,2.0056871337188116
Puducherry,0.41417089113699984,0.27414155926763,0.344415009407299,0.4540483121105551
Punjab,0.7791888854108753,0.5367152433381388,0.31533454347144874,2.5766892896935274
Rajasthan,1.0539514962193892,1.102862246889395,0.3736819373195241,2.930042389341494
Sikkim,0.6645102114745763,0.4239494664860912,0.22337426760230797,0.8312197492350963
Tamil Nadu,1.2480086765264917,0.9220681781719835,0.23187341062404082,2.6922010916127657
Telangana,0.9978573832171115,0.7993908680655131,0.14350028972238218,1.113531302667673
Tripura,0.2674948960152564,0.37926334539471046,0.30876326630194323,0.41789548657145936
Uttar Pradesh,0.71796004817455,0.8718054247104424,0.24119247742271993,2.3260429059247127
Uttarakhand,0.9769049868510595,0.5628955584055204,0.5575478328640002,1.2489657663229872
West Bengal,1.0200062786759643,0.817222049926894,0.23029363074572684,2.880565907831831
